Function Name,Tcycle,Count,Tcycle_per_Count
local_zero_padding_CHW_q7,0,0,
local_cropping_HWC_q7,0,0,
local_cropping_CHW_q7,0,0,
local_dot_q7_opt,0,0,
local_dot_q7,0,0,
local_fully_connected_q7,0,0,
local_hard_sigmoid_q7,0,0,
local_hard_tanh_q7,0,0,
local_sigmoid_q7,0,0,
local_tanh_q7,0,0,
local_leaky_relu_q7,0,0,
local_adv_relu_q7,0,0,
local_mult_q7,0,0,
local_add_q7,0,0,
local_sub_q7,0,0,
local_multiple_add_q7,0,0,
local_multiple_mult_q7,0,0,
local_multiple_sub_q7,0,0,
local_q7_to_q15_no_shift,0,0,
local_q7_to_q15,0,0,
local_q15_to_q7,0,0,
local_activation_q15,0,0,
local_avepool_q15_HWC,0,0,
local_avepool_q15_CHW,0,0,
local_maxpool_q15_HWC,0,0,
local_maxpool_q15_CHW,0,0,
local_sumpool_q15_HWC,0,0,
local_sumpool_q15_CHW,0,0,
local_up_sampling_q15_HWC,0,0,
local_up_sampling_q15_CHW,0,0,
local_convolve_HWC_q15_nonsquare,0,0,
local_convolve_CHW_q15_nonsquare,0,0,
local_conv_trans_HWC_q15_nonsquare,0,0,
local_depthwise_separable_conv_HWC_q15_nonsquare,0,0,
local_depthwise_separable_conv_CHW_q15_nonsquare,0,0,
local_zero_padding_HWC_q15,0,0,
local_zero_padding_CHW_q15,0,0,
local_cropping_HWC_q15,0,0,
local_cropping_CHW_q15,0,0,
local_dot_q15,0,0,
local_dot_q15_opt,0,0,
local_fully_connected_mat_q7_vec_q15_opt,0,0,
local_fully_connected_mat_q7_vec_q15,0,0,
local_softmax_q15,0,0,
local_hard_sigmoid_q15,0,0,
local_hard_tanh_q15,0,0,
local_relu_q15,0,0,
local_leaky_relu_q15,0,0,
local_adv_relu_q15,0,0,
local_sigmoid_q15,0,0,
local_tanh_q15,0,0,
local_mult_q15,0,0,
local_add_q15,0,0,
local_sub_q15,0,0,
local_multiple_add_q15,0,0,
