Function Name,Start Address,Return Addresses
local_convolve_CHW_q15_nonsquare,10b128    ,10b3f4
local_conv_trans_HWC_q15_nonsquare,10b3f8    ,10b784
local_depthwise_separable_conv_HWC_q15_nonsquare,10b788    ,10b89c
local_depthwise_separable_conv_CHW_q15_nonsquare,10bae0    ,10bbf0
local_zero_padding_HWC_q15,10be48    ,
local_zero_padding_CHW_q15,10bf7c    ,10c05c
local_cropping_HWC_q15,10c0f8    ,10c180
local_cropping_CHW_q15,10c1a4    ,10c250
local_dot_q15       ,10c2a4    ,10c350
local_dot_q15_opt   ,10c3dc    ,10c4e8
local_fully_connected_mat_q7_vec_q15_opt,10c7d4    ,10c8e8
local_fully_connected_mat_q7_vec_q15,10cc58    ,10cd70
local_softmax_q15   ,10ce30    ,10cec4
local_hard_sigmoid_q15,10cf88    ,10d014
local_hard_tanh_q15 ,10d04c    ,"10d090, 10d0a4"
local_relu_q15      ,10d100    ,10d10c
local_leaky_relu_q15,10d124    ,10d134
local_adv_relu_q15  ,10d154    ,10d164
local_sigmoid_q15   ,10d194    ,
local_tanh_q15      ,10d1a0    ,
local_mult_q15      ,10d1ac    ,10d1d0
local_add_q15       ,10d210    ,10d234
local_sub_q15       ,10d274    ,10d298
local_multiple_add_q15,10d2d8    ,10d2fc
local_multiple_mult_q15,10d354    ,10d3fc
local_multiple_sub_q15,10d480    ,10d4a4
local_1_minor_z_q15 ,10d504    ,10d53c
model_active        ,10d5d4    ,10d5dc
allocate_block      ,10d5e0    ,10d5f8
io_list_delete      ,10d5fc    ,10d62c
find_last           ,10d670    ,"10d674, 10d688"
model_add           ,10d68c    ,"10d6c8, 10d6e8"
release_comp_mem.isra.0,10d6ec    ,"10d700, 10d714"
release_input_mem.isra.0,10d718    ,10d71c
nnom_mem_stat       ,10d74c    ,10d754
nnom_alignto        ,10d758    ,10d768
nnom_mem            ,10d76c    ,10d7c0
model_hook          ,10d7c4    ,10d87c
model_mergex        ,10d898    ,10d8f8
model_merge         ,10d91c    ,
new_model           ,10d92c    ,10d9ac
model_delete        ,10d9c8    ,"10da34, 10dac0"
nnom_io_length      ,10dac4    ,"10dadc, 10dae0"
nnom_hook_length    ,10dae4    ,"10dafc, 10db00"
compile_layers      ,10db04    ,10dc7c
mem_analysis_result ,10de48    ,10de64
block_mem_set       ,10de68    ,10de94
tensor_mem_set      ,10de98    ,10dea4
set_tailed_activation,10def0    ,"10df20, 10df28"
model_compile       ,10df2c    ,10dfe0
sequencial_compile  ,10dfec    ,
layer_run           ,10e028    ,10e078
model_run_to        ,10e07c    ,10e0e8
model_run           ,10e10c    ,
model_set_callback  ,10e114    ,10e130
model_delete_callback,10e134    ,10e138
check_model_version ,10e13c    ,10e144
shape_size          ,10e148    ,"10e160, 10e168"
shape               ,10e16c    ,10e18c
kernel              ,10e190    ,10e1ac
stride              ,10e1b0    ,10e1cc
dilation            ,10e1d0    ,10e1ec
border              ,10e1f0    ,10e218
io_init             ,10e21c    ,10e224
io_add_aux          ,10e228    ,"10e274, 10e27c"
tensor_size         ,10e280    ,"10e29c, 10e2bc"
tensor_size_byte    ,10e2c0    ,10e2ec
